Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
213,Rodolfo Furtado,pt POR,GK,Santa Clara,23,1997,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,f5cc8631
214,Nicolás Gaitán,ar ARG,MF,Paços,33,1988,3.3,2,3,2,66.7,0.91,0.60,0.67,1.00,10.5,0,0,0,0.4,0.4,0.14,+1.6,+1.6,Matches,7ebfac0f
215,Jefferson Galego,br BRA,MFFW,Moreirense,24,1997,1.0,0,5,0,0.0,5.17,0.00,0.00,,18.1,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches,a14b8d2d
216,Galeno,br BRA,MFFW,Porto,23,1997,3.5,1,13,5,38.5,3.74,1.44,0.08,0.20,15.6,1,0,0,2.0,2.0,0.15,-1.0,-1.0,Matches,5b3d1a7a
217,Galeno,br BRA,MFDF,Braga,23,1997,10.6,3,21,10,47.6,1.99,0.95,0.10,0.20,21.7,0,1,1,2.0,1.2,0.06,+1.0,+0.8,Matches,5b3d1a7a
218,Nino Galović,hr CRO,DF,Arouca,29,1992,10.3,0,3,1,33.3,0.29,0.10,0.00,0.00,8.4,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,d280923b
219,João Gamboa,pt POR,MF,Estoril,24,1996,23.5,0,18,3,16.7,0.77,0.13,0.00,0.00,22.5,1,0,0,1.2,1.2,0.07,-1.2,-1.2,Matches,f5dfeb5d
220,Pedro Ganchas,pt POR,DF,Paços,21,2000,1.6,0,1,0,0.0,0.64,0.00,0.00,,10.7,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches,fe743953
221,Javi García,es ESP,DFMF,Boavista,34,1987,13.8,1,8,2,25.0,0.58,0.15,0.13,0.50,13.4,0,0,0,0.5,0.5,0.06,+0.5,+0.5,Matches,167c1bb0
222,Geovani,br BRA,FWMF,Famalicão,20,2001,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,cead8aa3
223,Francisco Geraldes,pt POR,MF,Estoril,26,1995,18.2,1,29,7,24.1,1.59,0.38,0.03,0.14,25.1,2,0,0,2.3,2.3,0.08,-1.3,-1.3,Matches,dbde9724
224,Gilberto,br BRA,DFMF,Benfica,28,1993,15.0,2,12,2,16.7,0.80,0.13,0.17,1.00,17.6,0,0,0,1.1,1.1,0.09,+0.9,+0.9,Matches,1338e42b
225,Henrique Gomes,pt POR,DF,Gil Vicente FC,25,1995,2.6,1,3,1,33.3,1.13,0.38,0.33,1.00,14.5,0,0,0,0.2,0.2,0.05,+0.8,+0.8,Matches,f7ef0388
226,Rodrigo Gomes,pt POR,MFDF,Braga,18,2003,8.2,0,15,6,40.0,1.83,0.73,0.00,0.00,19.1,0,0,0,1.1,1.1,0.07,-1.1,-1.1,Matches,8dcf77c0
227,Sana Gomes,gw GNB,DF,Portimonense,19,2002,4.1,0,1,0,0.0,0.25,0.00,0.00,,32.6,1,0,0,0.0,0.0,0.03,0.0,0.0,Matches,af638463
228,Luis Gómez,co COL,MFFW,Santa Clara,21,1999,0.7,0,1,0,0.0,1.48,0.00,0.00,,33.2,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches,e41c025a
